wind_power_proxy,solar_power_proxy
1404.9279999999997,4.0
46.656000000000006,0.0
26730.899,3.0
8242.408,3.0
13997.521000000002,2.0
10648.0,3.0
26730.899,0.0
13997.521000000002,4.0
46.656000000000006,3.0
729.0,3.0
2197.0,4.0
314.43199999999996,1.25
314.43199999999996,3.0
729.0,3.0
46.656000000000006,3.0
729.0,2.0
226.98099999999997,2.0
64.0,2.0
373.2480000000001,3.36
226.98099999999997,4.0
46.656000000000006,4.0
6967.871000000002,4.0
2197.0,1.0
729.0,0.0
4826.808999999998,0.0
2197.0,4.0
195.112,2.24
729.0,0.0
636.0559999999999,1.42
79.50699999999999,1.38
46.656000000000006,0.0
46.656000000000006,4.0
46.656000000000006,3.0
314.43199999999996,3.0
2197.0,3.0
8242.408,0.0
314.43199999999996,0.0
8242.408,4.0
2197.0,0.0
226.98099999999997,0.0
729.0,1.0
314.43199999999996,0.0
10648.0,0.75
1404.9279999999997,3.0
729.0,3.0
46.656000000000006,2.94
46.656000000000006,1.0
226.98099999999997,4.0
1404.9279999999997,4.0
46.656000000000006,4.0
1404.9279999999997,1.0
17373.978999999996,0.0
17373.978999999996,1.0
314.43199999999996,3.0
729.0,4.0
8242.408,0.0
46.656000000000006,0.5
1404.9279999999997,1.0
1404.9279999999997,0.0
2197.0,1.0
3442.9509999999996,0.0
493.039,0.87
729.0,0.86
830.5840000000001,0.93
274.625,0.9
195.112,0.54
46.656000000000006,0.2199999999999999
125.0,0.0
125.0,0.0
103.823,1.0
64.0,1.0
157.46400000000003,0.94
125.0,0.97
79.50699999999999,0.96
314.43199999999996,0.93
274.625,0.89
79.50699999999999,0.96
103.823,0.97
314.43199999999996,0.94
314.43199999999996,0.54
46.656000000000006,0.4499999999999999
46.656000000000006,0.1999999999999999
2197.0,0.25
10648.0,0.0
2197.0,0.5
46.656000000000006,1.0
46.656000000000006,0.0
46.656000000000006,1.0
46.656000000000006,0.0
729.0,0.0
46.656000000000006,0.18
729.0,0.0
46.656000000000006,0.0
314.43199999999996,0.0
46.656000000000006,1.0
10648.0,0.18
226.98099999999997,1.0
226.98099999999997,1.0
729.0,1.0
226.98099999999997,1.0
46.656000000000006,1.0
729.0,0.0
314.43199999999996,0.0
226.98099999999997,0.0
46.656000000000006,1.0
46.656000000000006,1.0
226.98099999999997,1.0
46.656000000000006,1.0
3442.9509999999996,0.0
1404.9279999999997,0.0
226.98099999999997,0.0
729.0,0.0
79.50699999999999,1.0
64.0,0.0
571.7870000000001,1.0
226.98099999999997,1.0
195.112,0.5
64.0,0.0
830.5840000000001,0.0
46.656000000000006,0.5
79.50699999999999,1.0
226.98099999999997,1.0
46.656000000000006,0.0
46.656000000000006,0.0
493.039,0.0
226.98099999999997,1.0
46.656000000000006,0.0
493.039,1.0
4826.808999999998,1.0
1030.301,1.0
46.656000000000006,1.0
4574.296000000001,1.0
46.656000000000006,1.0
46.656000000000006,0.0
438.97599999999994,1.0
46.656000000000006,1.0
46.656000000000006,1.0
226.98099999999997,1.0
3723.875,0.0
571.7870000000001,0.0
103.823,0.0
79.50699999999999,0.0
274.625,0.0
79.50699999999999,0.0
636.0559999999999,0.0
46.656000000000006,0.0
438.97599999999994,0.0
125.0,0.0
125.0,0.0
79.50699999999999,0.0
46.656000000000006,0.0
46.656000000000006,0.0
314.43199999999996,0.0
46.656000000000006,0.0
46.656000000000006,0.3199999999999999
3944.312,0.0
195.112,0.0
79.50699999999999,0.0
729.0,0.0
1259.7120000000002,0.0
226.98099999999997,0.0
274.625,0.0
226.98099999999997,0.0
16777.216000000004,0.0
46.656000000000006,0.0
46.656000000000006,0.0
79.50699999999999,0.0
46.656000000000006,0.0
226.98099999999997,0.0
6229.503999999999,0.0
79.50699999999999,0.0
27543.607999999997,0.0
729.0,0.0
1124.864,0.0
314.43199999999996,0.0
103.823,0.0
830.5840000000001,0.0
493.039,0.0
20570.823999999997,0.0
1030.301,0.0
373.2480000000001,0.0
274.625,0.0
2352.637,0.0
830.5840000000001,0.0
103.823,0.0
46.656000000000006,0.0
46.656000000000006,0.0
64.0,0.0
157.46400000000003,0.0
46.656000000000006,0.0
46.656000000000006,0.0
46.656000000000006,0.0
46.656000000000006,0.0
64.0,0.0
46.656000000000006,0.0
46.656000000000006,0.0
493.039,0.0
274.625,0.0
46.656000000000006,0.0
195.112,0.0
46.656000000000006,0.0
157.46400000000003,0.0
11697.083,0.0
438.97599999999994,0.0
3723.875,0.0
373.2480000000001,0.0
6539.2029999999995,0.0
1259.7120000000002,0.0
103.823,0.0
157.46400000000003,0.0
438.97599999999994,0.0
157.46400000000003,0.0
4251.527999999999,0.0
314.43199999999996,0.0
25672.375,0.0
314.43199999999996,0.0
2197.0,0.0
64.0,0.0
493.039,0.0
373.2480000000001,0.0
438.97599999999994,0.0
46.656000000000006,0.0
373.2480000000001,0.0
79.50699999999999,0.0
314.43199999999996,0.0
195.112,0.0
64.0,0.0
46.656000000000006,0.0
1030.301,0.0
2985.9840000000004,0.0
46.656000000000006,0.0
571.7870000000001,0.0
46.656000000000006,0.0
46.656000000000006,0.0
571.7870000000001,0.0
46.656000000000006,0.0
64.0,0.0
46.656000000000006,0.0
46.656000000000006,0.0
79.50699999999999,0.0
46.656000000000006,0.0
46.656000000000006,0.0
438.97599999999994,0.0
157.46400000000003,0.0
64.0,0.0
46.656000000000006,0.0
46.656000000000006,0.0
79.50699999999999,0.0
46.656000000000006,0.0
571.7870000000001,0.0
11089.567,0.0
493.039,0.0
1259.7120000000002,0.0
1815.8479999999995,0.0
373.2480000000001,0.0
1259.7120000000002,0.0
438.97599999999994,0.0
438.97599999999994,0.0
46.656000000000006,0.0
79.50699999999999,0.0
226.98099999999997,0.0
46.656000000000006,0.0
1815.8479999999995,0.0
46.656000000000006,0.0
912.6729999999998,0.0
438.97599999999994,0.0
46.656000000000006,0.0
46.656000000000006,0.0
5177.717000000001,0.0
373.2480000000001,0.0
2000.3759999999995,0.0
226.98099999999997,0.0
1520.875,0.0
274.625,0.0
24897.088,0.0
636.0559999999999,0.0
438.97599999999994,0.0
157.46400000000003,0.0
46.656000000000006,0.0
46.656000000000006,0.0
79.50699999999999,0.0
46.656000000000006,0.0
274.625,0.0
373.2480000000001,0.0
912.6729999999998,0.0
46.656000000000006,0.0
571.7870000000001,0.0
1030.301,0.0
314.43199999999996,0.0
226.98099999999997,0.0
4251.527999999999,0.0
438.97599999999994,0.0
1124.864,0.0
195.112,0.0
571.7870000000001,0.0
2744.0,0.0
1124.864,0.0
912.6729999999998,0.0
314.43199999999996,0.0
1404.9279999999997,0.0
46.656000000000006,0.0
373.2480000000001,0.0
46.656000000000006,0.0
46.656000000000006,0.0
830.5840000000001,0.0
1030.301,0.0
636.0559999999999,0.0
46.656000000000006,0.0
636.0559999999999,0.0
3241.7920000000004,0.0
4251.527999999999,0.0
571.7870000000001,0.0
274.625,0.0
157.46400000000003,0.0
64.0,0.0
1685.159,0.0
46.656000000000006,0.0
912.6729999999998,0.0
79.50699999999999,0.0
4826.808999999998,0.0
5451.776000000002,0.0
1404.9279999999997,0.0
46.656000000000006,0.0
314.43199999999996,0.0
314.43199999999996,0.0
373.2480000000001,0.0
373.2480000000001,0.0
2985.9840000000004,0.0
1124.864,0.0
1815.8479999999995,0.0
830.5840000000001,0.0
912.6729999999998,0.0
274.625,0.0
226.98099999999997,0.0
2352.637,0.0
438.97599999999994,0.0
1404.9279999999997,0.0
46.656000000000006,0.0
830.5840000000001,0.0
314.43199999999996,0.0
157.46400000000003,0.0
5177.717000000001,0.0
6229.503999999999,0.0
1124.864,0.0
373.2480000000001,0.0
6229.503999999999,0.0
1685.159,0.0
226.98099999999997,0.0
912.6729999999998,0.0
314.43199999999996,0.0
636.0559999999999,0.0
830.5840000000001,0.0
571.7870000000001,0.0
1124.864,0.0
79.50699999999999,0.0
46.656000000000006,0.0
3241.7920000000004,0.0
571.7870000000001,0.0
274.625,0.0
1124.864,0.0
2352.637,0.0
729.0,0.0
1815.8479999999995,0.0
46.656000000000006,0.0
438.97599999999994,0.0
46.656000000000006,0.0
226.98099999999997,0.0
314.43199999999996,0.0
571.7870000000001,0.0
729.0,0.0
195.112,0.0
274.625,0.0
1404.9279999999997,0.0
1259.7120000000002,0.0
1124.864,0.0
438.97599999999994,0.0
314.43199999999996,0.0
438.97599999999994,0.0
157.46400000000003,0.0
373.2480000000001,0.0
2744.0,0.0
1520.875,0.0
1404.9279999999997,0.0
6539.2029999999995,0.0
2571.3529999999996,0.0
493.039,0.0
729.0,0.0
636.0559999999999,0.0
2197.0,0.0
274.625,0.0
103.823,0.0
1815.8479999999995,0.0
729.0,0.0
2000.3759999999995,0.0
438.97599999999994,0.0
571.7870000000001,0.0
195.112,0.0
2352.637,0.0
1124.864,0.0
2985.9840000000004,0.0
5451.776000000002,0.0
2985.9840000000004,0.0
2571.3529999999996,0.0
1124.864,0.0
2000.3759999999995,0.0
1124.864,0.0
3723.875,0.0
729.0,0.0
1404.9279999999997,0.0
2985.9840000000004,0.0
1815.8479999999995,0.0
1404.9279999999997,0.0
4574.296000000001,0.0
830.5840000000001,0.0
636.0559999999999,0.0
1259.7120000000002,0.0
1030.301,0.0
2197.0,0.0
1685.159,0.0
2352.637,0.0
2197.0,0.0
2000.3759999999995,0.0
1520.875,0.0
4574.296000000001,0.0
1815.8479999999995,0.0
1124.864,0.0
2000.3759999999995,0.0
1685.159,0.0
2197.0,0.0
2744.0,0.0
1815.8479999999995,0.0
2744.0,0.0
2352.637,0.0
1520.875,0.0
830.5840000000001,0.0
46.656000000000006,0.0
4574.296000000001,0.0
1815.8479999999995,0.0
1685.159,0.0
438.97599999999994,0.0
46.656000000000006,0.0
125.0,0.0
3442.9509999999996,0.0
1259.7120000000002,0.0
46.656000000000006,0.0
103.823,0.0
226.98099999999997,0.0
830.5840000000001,0.0
636.0559999999999,0.0
2744.0,0.0
1259.7120000000002,0.0
493.039,0.0
438.97599999999994,0.0
438.97599999999994,0.0
571.7870000000001,0.0
493.039,0.0
195.112,0.0
274.625,0.0
729.0,0.0
636.0559999999999,0.0
729.0,0.0
830.5840000000001,0.0
636.0559999999999,0.0
830.5840000000001,0.0
729.0,0.0
636.0559999999999,0.0
493.039,0.0
1685.159,0.0
195.112,0.0
226.98099999999997,0.0
493.039,0.0
830.5840000000001,0.0
729.0,0.0
125.0,0.0
125.0,0.0
274.625,0.0
46.656000000000006,0.0
438.97599999999994,0.0
1259.7120000000002,0.0
830.5840000000001,0.0
493.039,0.0
157.46400000000003,0.0
729.0,0.0
314.43199999999996,0.0
571.7870000000001,0.0
2000.3759999999995,0.0
729.0,6.75
1404.9279999999997,4.0
729.0,3.0
1404.9279999999997,1.5
729.0,1.75
1404.9279999999997,1.75
729.0,6.0
3442.9509999999996,2.0
1404.9279999999997,3.0
1404.9279999999997,1.5
2197.0,1.5
2197.0,1.5
2197.0,4.5
314.43199999999996,3.0
3442.9509999999996,1.5
6967.871000000002,1.5
314.43199999999996,3.0
1404.9279999999997,4.0
2197.0,2.0
729.0,4.0
2197.0,5.25
46.656000000000006,4.5
314.43199999999996,7.0
46.656000000000006,3.0
226.98099999999997,4.5
46.656000000000006,5.25
46.656000000000006,1.5
226.98099999999997,3.0
157.46400000000003,0.1500000000000001
1404.9279999999997,1.5
46.656000000000006,0.0
46.656000000000006,0.3000000000000002
46.656000000000006,3.2
64.0,2.45
571.7870000000001,0.0
314.43199999999996,1.25
314.43199999999996,2.5
314.43199999999996,2.5
226.98099999999997,3.75
46.656000000000006,0.0
314.43199999999996,1.5
314.43199999999996,3.0
46.656000000000006,3.5
64.0,2.5
2197.0,2.5
2197.0,4.5
1404.9279999999997,2.5
729.0,1.5
1404.9279999999997,1.25
226.98099999999997,1.25
46.656000000000006,4.5
729.0,1.25
314.43199999999996,2.5
314.43199999999996,2.5
729.0,3.0
46.656000000000006,2.5
314.43199999999996,3.75
46.656000000000006,0.4499999999999998
46.656000000000006,0.0
46.656000000000006,1.0499999999999998
46.656000000000006,2.1500000000000004
46.656000000000006,0.0
46.656000000000006,3.3499999999999996
46.656000000000006,0.1500000000000001
46.656000000000006,0.0
64.0,0.0
46.656000000000006,0.0
46.656000000000006,0.6
46.656000000000006,0.0
46.656000000000006,1.6999999999999995
46.656000000000006,0.0
226.98099999999997,0.0
46.656000000000006,0.1
46.656000000000006,0.0
46.656000000000006,1.6999999999999995
46.656000000000006,0.0
103.823,0.0
46.656000000000006,0.0
46.656000000000006,4.5600000000000005
46.656000000000006,0.0
46.656000000000006,0.0
46.656000000000006,3.85
46.656000000000006,0.1500000000000001
46.656000000000006,0.0
46.656000000000006,0.0
46.656000000000006,0.0
46.656000000000006,0.0
46.656000000000006,2.3499999999999996
46.656000000000006,0.0
46.656000000000006,3.5999999999999996
64.0,4.6000000000000005
46.656000000000006,0.8500000000000002
46.656000000000006,0.5499999999999999
46.656000000000006,1.5000000000000002
46.656000000000006,0.0
46.656000000000006,0.0
46.656000000000006,0.4499999999999998
46.656000000000006,0.0
46.656000000000006,0.0
46.656000000000006,0.0
46.656000000000006,0.0
46.656000000000006,3.3999999999999995
46.656000000000006,0.8000000000000002
46.656000000000006,0.0
46.656000000000006,0.0
46.656000000000006,0.0
46.656000000000006,0.0
46.656000000000006,1.5500000000000005
46.656000000000006,1.15
46.656000000000006,0.0
46.656000000000006,0.0
46.656000000000006,0.0
46.656000000000006,0.0
157.46400000000003,0.0
46.656000000000006,0.0
46.656000000000006,2.25
46.656000000000006,1.35
46.656000000000006,2.5
46.656000000000006,4.5
46.656000000000006,2.5
46.656000000000006,0.0
46.656000000000006,0.0
46.656000000000006,0.36
46.656000000000006,0.0
46.656000000000006,0.0
46.656000000000006,0.0
46.656000000000006,0.6599999999999999
46.656000000000006,0.91
79.50699999999999,0.16
274.625,0.75
103.823,0.0
79.50699999999999,0.0
46.656000000000006,0.0
46.656000000000006,0.3299999999999999
46.656000000000006,0.0
46.656000000000006,0.0
46.656000000000006,0.14
46.656000000000006,0.0
79.50699999999999,0.0
195.112,0.31
46.656000000000006,0.0
79.50699999999999,0.71
1685.159,0.24
636.0559999999999,0.0
157.46400000000003,0.0
157.46400000000003,0.0
64.0,0.0
157.46400000000003,0.0
373.2480000000001,0.0
46.656000000000006,0.0
46.656000000000006,0.0
46.656000000000006,0.0
64.0,0.0
314.43199999999996,0.0
46.656000000000006,0.0
46.656000000000006,0.0
46.656000000000006,0.0
46.656000000000006,0.0
46.656000000000006,0.0
46.656000000000006,0.0
46.656000000000006,0.0
46.656000000000006,0.0
46.656000000000006,0.0
46.656000000000006,0.0
46.656000000000006,0.0
46.656000000000006,0.0
46.656000000000006,0.0
46.656000000000006,0.0
46.656000000000006,0.0
46.656000000000006,0.0
64.0,0.0
125.0,0.0
46.656000000000006,0.0
46.656000000000006,0.0
46.656000000000006,0.0
125.0,0.0
103.823,0.0
46.656000000000006,0.0
195.112,0.0
157.46400000000003,0.0
103.823,0.0
46.656000000000006,0.0
46.656000000000006,0.0
46.656000000000006,0.0
195.112,0.0
46.656000000000006,0.0
64.0,0.0
46.656000000000006,0.0
46.656000000000006,0.0
46.656000000000006,0.0
79.50699999999999,0.0
46.656000000000006,0.0
46.656000000000006,0.0
46.656000000000006,0.0
79.50699999999999,0.0
46.656000000000006,0.0
46.656000000000006,0.0
46.656000000000006,0.0
46.656000000000006,0.0
46.656000000000006,0.0
64.0,0.0
